assists_away_team,assists_home_team,attendance,away_goals,away_goals_details,away_manager,away_team,blocks_away_team,blocks_home_team,clearances_away_team,clearances_home_team,corners_away_team,corners_home_team,crosses_away_team,crosses_home_team,date,fouls_away_team,fouls_home_team,free_kicks_away_team,free_kicks_home_team,handballs_away_team,handballs_home_team,home_goals,home_goals_details,home_manager,home_team,offsides_away_team,offsides_home_team,penalties_away_team,penalties_home_team,red_cards_away_team,red_cards_home_team,referee,result,saves_away_team,saves_home_team,season,shots_off_target_away_team,shots_off_target_home_team,shots_on_target_away_team,shots_on_target_home_team,throw_ins_away_team,throw_ins_home_team,total_shots_away_team,total_shots_home_team,venue,yellow_cards_away_team,yellow_cards_home_team
2,0,21939,3,"Clint Dempsey (30, 45),Mahamadou Diarra (80)",Martin Jol,Fulham,3,2,43,26,3,5,8,31,Saturday 7 April 2012,10,12,10,9,3,0,0,,Owen Coyle,Bolton,4,0,0,0,0,0,Mike Dean,0-3,2,3,2011-2012,3,7,6,1,19,15,9,8,Macron Stadium,0,1
1,1,40651,1,Mohamed Diamé (82),Roberto Martinez,Wigan,4,1,21,16,3,5,13,21,Saturday 7 April 2012,12,14,13,12,1,0,2,"Branislav Ivanovic (62),Juan Mata (90+3)",Roberto Di Matteo,Chelsea,5,3,0,0,0,0,Michael Jones,2-1,5,2,2011-2012,5,9,4,8,26,18,9,17,Stamford Bridge,2,2
1,0,44321,1,Chris Herd (10),Alex McLeish,Aston Villa,2,1,61,16,3,11,8,37,Saturday 7 April 2012,10,5,5,10,0,0,1,Luis Suárez (82),Kenny Dalglish,Liverpool,0,1,0,0,0,0,Michael Oliver,1-1,4,1,2011-2012,2,17,2,5,11,31,4,22,Anfield,1,1
2,2,26554,2,"Nikica Jelavic (22, 61)",David Moyes,Everton,6,3,25,45,4,2,18,23,Saturday 7 April 2012,18,7,7,14,1,0,2,"Jonny Howson (39),Grant Holt (76)",Paul Lambert,Norwich,2,3,0,0,0,0,Andre Marriner,2-2,4,3,2011-2012,2,3,5,6,24,23,7,9,Carrow Road,3,0
0,2,23414,0,,Steve Kean,Blackburn,2,4,19,17,4,8,12,17,Saturday 7 April 2012,9,7,7,9,0,1,3,"Martin Olsson (7 OG),Marc-Antoine Fortuné (69),Liam Ridgewell (85)",Roy Hodgson,West Brom,2,7,0,0,1,0,Lee Probert,3-0,3,7,2011-2012,5,5,8,5,19,14,13,10,The Hawthorns,1,1
0,0,39335,0,,Harry Redknapp,Spurs,4,7,28,32,4,11,15,15,Saturday 7 April 2012,11,13,13,11,1,0,0,,Martin O'Neill,Sunderland,2,1,0,0,0,0,Chris Foy,0-0,3,1,2011-2012,8,4,1,3,19,13,9,7,Stadium of Light,2,2
2,0,19874,2,"Papiss Demba Cissé (5, 69)",Alan Pardew,Newcastle,5,1,18,8,0,7,3,21,Friday 6 April 2012,9,10,10,7,1,0,0,,Brendan Rodgers,Swansea,1,0,0,0,0,0,Howard Webb,0-2,8,1,2011-2012,1,6,3,8,14,26,4,14,Liberty Stadium,1,1
2,0,26532,2,"Antonio Valencia (81),Ashley Young (86)",Alex Ferguson,Man Utd,2,3,40,42,10,2,36,12,Monday 2 April 2012,5,11,10,4,0,2,0,,Steve Kean,Blackburn,1,0,0,0,0,0,Howard Webb,0-2,4,3,2011-2012,5,5,5,4,25,22,10,9,Ewood Park,1,1
1,2,36174,1,Gylfi Sigurdsson (59),Brendan Rodgers,Swansea,2,5,17,12,6,7,11,20,Sunday 1 April 2012,12,10,9,12,0,0,3,"Rafael van der Vaart (19),Emmanuel Adebayor (73, 86)",Harry Redknapp,Spurs,2,1,0,0,0,0,Andre Marriner,3-1,6,1,2011-2012,4,9,2,9,27,20,6,18,White Hart Lane,0,0
0,2,52363,0,,Kenny Dalglish,Liverpool,3,4,14,28,6,3,21,14,Sunday 1 April 2012,12,10,10,12,1,0,2,"Papiss Demba Cissé (19, 59)",Alan Pardew,Newcastle,5,2,0,0,1,0,Martin Atkinson,2-0,1,2,2011-2012,3,4,2,3,16,19,5,7,St. James' Park,3,3
